ln,dob,gn,fn,is_duplicate,name,concat,hash,indices,prediction
MELVIN JR,07-10-1937,M,HAROLD,1,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,5,1
MELVIN JR,07-10-1937,M,HAROLD,1,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,11,1
MELVIN JR,07-10-1937,M,HAROLD,1,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,22,1
MICHAELSON JR,16-12-1944,M,JOHN,1,JOHN MICHAELSON JR,16-12-1944MJOHNMICHAELSON JR,h5h0vHedai9BCaShQUm3qGJPVigSQXoFQCl5dSyAtRc=,28,1
CHAVAS JR,07-10-1937,M,HAROLD,1,HAROLD CHAVAS JR,07-10-1937MHAROLDCHAVAS JR,ilSQ9dpizK4kjv1Hx39VVDtGWXjZs2PhQgREqiY7fpc=,30,1
MICHAELSON,25-10-1953,M,ROY,1,ROY MICHAELSON,25-10-1953MROYMICHAELSON,rLVwg0ec0ukWgAN2S5D2e23Q6SRC3+R05CSjRGKE3Zk=,33,1
GRIFFIN JR,07-05-1937,M,CLIFFORD,1,CLIFFORD GRIFFIN JR,07-05-1937MCLIFFORDGRIFFIN JR,+pn7y2LTzGxoA6c/8Qzknk4YTC6RMTX0hzm56/wYM50=,35,1
DHONI ,07-10-1937,M,SINGH ,1,SINGH  DHONI ,07-10-1937MSINGH DHONI ,SV65DDxMRRH26jHN5O9Xn4oZyMt+Nv45PsUDLaT3XCA=,45,1
MICHAELSON JR,24-04-1940,M,JOHN,1,JOHN MICHAELSON JR,24-04-1940MJOHNMICHAELSON JR,Jpz6cm4gI67l7Y3d8TFL4bspJhtB6uLsQCQldquR5Kc=,52,1
MELVIN JR,07-10-1937,M,HAROLD,1,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,53,1
PRERNA ,07-10-1937,F,BHENDARKAR,0,BHENDARKAR PRERNA ,07-10-1937FBHENDARKARPRERNA ,fGnFIAb5BCRCPHro2YD+BhUgo5pUGI9aPus7wEIK9bg=,55,1
RUSHI ,10-05-1945,M,PANCHAL,0,PANCHAL RUSHI ,10-05-1945MPANCHALRUSHI ,PNlq7xAREN7LSVPXxIhwqBY80hJ+l/bIePX6HbxEsew=,69,1
